Cipher timestamp,Timestamp,Timestamp (s),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,Powertop Version,Kernel Version,System Name,CPU Stats,OS Stats,Power Usage,Unit,Baseline Power,Unit,Signatures Power,Signatures Unit,Baseline Power - W,Signatures Power - W
,38:37.9,1643647118,12.9,600,15.3,931835904,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:38:40 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,278,mW,0,,0.278,0
,38:43.1,1643647123,13,600,15.3,931684352,0,0,7.6,9175760896,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:38:45 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,372,mW,0,,0.372,0
,38:48.2,1643647128,13.1,600,15.3,932155392,0,0,7.6,9175756800,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:38:50 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,403,mW,0,,0.403,0
,38:53.3,1643647133,12.8,600,15.3,931430400,0,0,7.6,9175773184,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:38:55 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,343,mW,0,,0.343,0
,38:58.4,1643647138,13.1,600,15.3,931606528,0,0,7.6,9175744512,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:39:00 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,630,mW,0,,0.63,0
,39:03.5,1643647144,12.9,600,15.3,931852288,0,0,7.6,9175744512,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:39:05 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,536,mW,0,,0.536,0
,39:08.6,1643647149,12.9,600,15.3,931549184,0,0,7.6,9175740416,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:39:11 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,289,mW,0,,0.289,0
,39:13.8,1643647154,33.4,600,15.8,964689920,0,0,7.6,9175859200,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:39:16 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.11,W,0,,2.11,0
D2 Keygen,39:19.2,1643647159,42.2,600,15.3,932888576,0,0,7.6,9175851008,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:39:21 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.73,W,1,W,1.73,1
D2 Keygen,39:24.7,1643647165,43,600,15.4,934092800,0,0,7.6,9175851008,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:39:27 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.55,W,838,mW,1.55,0.838
D2 Keygen,39:30.3,1643647170,42.6,600,15.4,933117952,0,0,7.6,9175851008,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:39:32 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.05,W,1.2,W,2.05,1.2
D2 Keygen,39:35.6,1643647176,42.3,600,15.4,933416960,0,0,7.6,9175851008,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:39:38 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.59,W,852,mW,1.59,0.852
D2 Keygen,39:41.1,1643647181,42.7,600,15.3,933011456,0,0,7.6,9175855104,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:39:43 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.02,W,1.23,W,2.02,1.23
D2 Keygen,39:46.5,1643647186,42.8,600,15.4,933302272,0,0,7.6,9175855104,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:39:48 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.22,W,858,mW,2.22,0.858
D2 Keygen,39:51.8,1643647192,42.4,600,15.4,933285888,0,0,7.6,9175855104,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:39:54 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.06,W,1.29,W,2.06,1.29
D2 Keygen,39:57.3,1643647197,43,600,15.4,933023744,0,0,7.6,9175855104,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:39:59 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.04,W,864,mW,2.04,0.864
D2 Keygen,40:02.8,1643647203,42.2,600,15.3,932610048,0,0,7.6,9175855104,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:40:05 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.17,W,1.52,W,2.17,1.52
D2 Keygen,40:08.2,1643647208,43.1,600,15.4,933318656,0,0,7.6,9175855104,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:40:10 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.17,W,1.29,W,2.17,1.29
D2 Keygen,40:13.7,1643647214,43.3,600,15.4,933339136,0,0,7.6,9175855104,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:40:16 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.02,W,1.26,W,2.02,1.26
D2 Keygen,40:19.2,1643647219,43,600,15.3,932753408,0,0,7.6,9175855104,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:40:21 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.5,W,1.15,W,2.5,1.15
D2 Keygen,40:24.6,1643647225,43.1,600,15.3,932995072,0,0,7.6,9175855104,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:40:27 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.87,W,1.14,W,1.87,1.14
D2 Keygen,40:30.0,1643647230,43.1,600,15.3,933306368,0,0,7.6,9175855104,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:40:32 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.94,W,1.16,W,1.94,1.16
D2 Keygen,40:35.4,1643647235,42.3,600,15.3,933556224,0,0,7.6,9175855104,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:40:37 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.98,W,1.51,W,1.98,1.51
D2 Keygen,40:40.9,1643647241,42.4,600,15.3,932687872,0,0,7.6,9175855104,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:40:43 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.9,W,1.43,W,1.9,1.43
D2 Keygen,40:46.3,1643647246,43,600,15.3,932970496,0,0,7.6,9175859200,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:40:48 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.61,W,853,mW,1.61,0.853
D2 Keygen,40:51.8,1643647252,42.3,600,15.4,932761600,0,0,7.6,9175859200,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:40:54 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.67,W,989,mW,1.67,0.989
